density,eaten,alive,size
1,1,0,small
1,0,1,small
1,1,0,small
1,1,0,small
1,1,0,small
1,0,1,small
1,1,0,small
1,1,0,small
1,0,1,small
1,1,0,small
1,0,1,small
1,1,0,small
1,0,1,small
1,1,0,small
1,1,0,small
1,0,1,small
1,1,0,small
1,1,0,small
1,0,1,small
1,1,0,small
2,2,0,small
2,1,1,small
2,1,1,small
2,2,0,small
2,2,0,small
2,2,0,small
2,2,0,small
2,2,0,small
2,0,2,small
2,2,0,small
2,1,1,small
2,1,1,small
2,0,2,small
2,1,1,small
2,1,1,small
2,2,0,small
2,0,2,small
2,2,0,small
2,0,2,small
2,0,2,small
4,3,1,small
4,3,1,small
4,2,2,small
4,4,0,small
4,3,1,small
4,1,3,small
4,4,0,small
4,2,2,small
4,3,1,small
4,4,0,small
4,2,2,small
4,4,0,small
4,3,1,small
4,3,1,small
4,0,4,small
4,3,1,small
4,0,4,small
4,2,2,small
4,3,1,small
4,0,4,small
8,5,3,small
8,6,2,small
8,3,5,small
8,8,0,small
8,5,3,small
8,2,6,small
8,4,4,small
8,6,2,small
8,4,4,small
8,8,0,small
8,2,6,small
8,3,5,small
8,1,7,small
8,2,6,small
8,8,0,small
8,1,7,small
8,7,1,small
8,6,2,small
8,8,0,small
16,7,9,small
16,13,3,small
16,10,6,small
16,12,4,small
16,5,11,small
16,2,14,small
16,9,7,small
16,14,2,small
16,12,4,small
16,8,8,small
16,5,11,small
16,5,11,small
16,7,9,small
16,4,12,small
16,3,13,small
16,4,12,small
16,9,7,small
16,6,10,small
16,9,7,small
16,4,12,small
32,14,18,small
32,6,26,small
32,8,24,small
32,25,7,small
32,27,5,small
32,28,4,small
32,15,17,small
32,11,21,small
32,7,25,small
32,10,22,small
32,10,22,small
32,11,21,small
32,6,26,small
32,11,21,small
32,10,22,small
32,14,18,small
32,21,11,small
32,19,13,small
32,19,13,small
32,9,23,small
