Rep,Instar,Predacao,Forrageamento,Parado,Ovos,Tentativa
R1,1Instar,1,877,198,1,3
R2,1Instar,1,324,261,1,25
R3,1Instar,1,673,2,1,20
R4,1Instar,0,145,42,0,36
R5,1Instar,1,588,150,1,12
R6,1Instar,0,122,1097,0,0
R7,1Instar,0,704,565,0,1
R8,1Instar,1,746,141,1,10
R9,1Instar,0,917,318,0,0
R10,1Instar,0,196,0,0,14
R11,1Instar,0,711,486,0,2
R12,1Instar,0,310,886,0,0
R13,1Instar,0,1125,79,0,0
R14,1Instar,0,116,1092,0,0
R15,1Instar,0,332,867,0,0
R1,2Instar,1,673,14,2,32
R2,2Instar,0,315,899,0,0
R3,2Instar,0,176,1033,0,0
R4,2Instar,0,765,209,0,25
R5,2Instar,0,105,1128,0,0
R6,2Instar,0,707,482,0,2
R7,2Instar,0,533,677,0,2
R8,2Instar,1,616,11,2,35
R9,2Instar,0,1147,46,0,0
R10,2Instar,0,854,359,0,0
R11,2Instar,0,418,823,0,0
R12,2Instar,1,406,133,3,22
R13,2Instar,0,462,743,0,0
R14,2Instar,0,615,579,0,2
R15,2Instar,1,1022,75,1,9
R1,3Instar,1,799,14,1,54
R2,3Instar,1,434,0,7,57
R3,3Instar,0,1026,3,0,26
R4,3Instar,1,1094,3,1,17
R5,3Instar,1,1081,14,1,18
R6,3Instar,1,839,45,5,34
R7,3Instar,0,1058,116,0,2
R8,3Instar,0,71,1132,0,0
R9,3Instar,0,1089,45,0,20
R10,3Instar,1,889,227,2,25
R11,3Instar,1,999,139,1,6
R12,3Instar,1,769,35,1,65
R13,3Instar,1,475,4,9,36
R14,3Instar,0,1038,137,0,6
R15,3Instar,1,434,0,4,62
