"SPECIES","AGE","DATE","BANDS","avg","sd","min","max"
"euca",6,2022-04-20,"B2",1205.22128991876,38.1947209935261,1141,1494
"euca",6,2022-04-20,"B3",1332.21833834186,63.8012907336122,1217,1800
"euca",6,2022-04-20,"B4",1234.70774208937,104.724998121177,1135,2218
"euca",6,2022-04-20,"B8",3770.48417091201,283.660553807164,2638,4928
"euca",6,2022-04-20,"B2",1205.3483004384,38.1175832301085,1142,1496
"euca",6,2022-04-20,"B3",1331.93288024459,63.7442639248403,1217,1803
"euca",6,2022-04-20,"B4",1234.93141729665,104.728169052959,1135,2218
"euca",6,2022-04-20,"B8",3770.3607174321,283.349366288334,2636,4924
"euca",6,2022-04-25,"B2",1182.41399424397,34.8198881552678,1111,1456
"euca",6,2022-04-25,"B3",1333.15974816925,59.1970952266351,1222,1786
"euca",6,2022-04-25,"B4",1239.12132413111,93.1293254939602,1152,2236
"euca",6,2022-04-25,"B8",3646.04889406185,274.518744592781,2554,4748
"euca",6,2022-04-25,"B2",1177.92235232975,35.0626040937143,1106,1454
"euca",6,2022-04-25,"B3",1329.84518606991,59.5310440520237,1217,1784
"euca",6,2022-04-25,"B4",1236.76161652918,93.6282085581414,1149,2238
"euca",6,2022-04-25,"B8",3647.26298067046,275.441749599088,2550,4748
