alunos,exito,tempo,alvo,grupo,curso,tentativa_1,tentativa_2,tentativa_3
a5,0,03:00,0,peca_simulador,c2,1,0,0
a11,1,00:31,0,peca_simulador,c2,0,0,0
a32,0,03:00,0,peca_simulador,c2,0,0,0
a40,1,01:00,1,peca_simulador,c2,1,0,0
a41,1,01:25,0,peca_simulador,c2,0,0,0
a50,1,03:22,0,peca_simulador,c2,0,0,0
a65,0,03:00,0,peca_simulador,c2,0,0,0
a71,1,00:33,1,peca_simulador,c2,0,0,0
a79,0,03:00,0,peca_simulador,c2,0,0,0
a2,1,01:22,0,simulador_peca,c3,0,0,0
a10,1,01:26,1,simulador_peca,c3,0,1,0
a12,0,03:00,0,simulador_peca,c3,0,0,1
a21,1,01:07,1,simulador_peca,c3,0,0,0
a35,1,02:09,0,simulador_peca,c3,0,0,0
a43,1,00:28,1,simulador_peca,c3,1,0,1
a44,1,01:25,0,simulador_peca,c3,0,0,0
a67,1,00:40,1,simulador_peca,c3,0,1,0
a8,1,00:31,1,peca_simulador,c5,0,0,1
a17,1,01:16,0,peca_simulador,c5,0,0,0
a29,0,03:00,0,peca_simulador,c5,0,0,1
a45,1,02:24,1,peca_simulador,c5,0,0,0
a46,1,01:24,1,peca_simulador,c5,0,0,1
a62,1,02:56,0,peca_simulador,c5,0,0,0
a75,1,01:35,0,peca_simulador,c5,0,0,0
a77,1,00:45,1,peca_simulador,c5,0,0,0
a78,0,03:00,0,peca_simulador,c5,0,0,0
a4,1,01:03,0,simulador_peca,c6,0,0,0
a14,1,01:11,0,simulador_peca,c6,0,0,0
a23,0,03:00,0,simulador_peca,c6,0,0,0
a27,1,00:32,1,simulador_peca,c6,0,0,0
a30,0,03:00,0,simulador_peca,c6,0,0,0
a39,1,00:26,1,simulador_peca,c6,0,0,1
a66,1,00:36,1,simulador_peca,c6,1,0,0
a70,1,00:36,0,simulador_peca,c6,0,1,0
a74,1,02:45,0,simulador_peca,c6,0,0,0
a13,1,00:18,0,simulador_peca,c7,0,0,0
a16,0,03:00,0,simulador_peca,c7,0,0,0
a18,1,00:44,0,simulador_peca,c7,0,0,1
a22,1,00:11,0,simulador_peca,c7,0,0,0
a33,1,00:07,0,simulador_peca,c7,0,0,0
a55,1,00:43,0,simulador_peca,c7,0,0,0
a61,1,00:47,0,simulador_peca,c7,0,0,0
a73,0,03:00,0,simulador_peca,c7,0,0,0
a76,1,01:57,0,simulador_peca,c7,0,0,0
a20,1,02:15,1,peca_simulador,c8,0,0,1
a24,1,00:56,1,peca_simulador,c8,0,0,1
a26,0,03:00,0,peca_simulador,c8,0,0,1
a34,1,00:22,1,peca_simulador,c8,0,1,1
a48,1,00:16,1,peca_simulador,c8,0,0,1
a52,1,01:13,0,peca_simulador,c8,0,0,1
a56,1,00:28,0,peca_simulador,c8,0,1,1
a58,1,01:42,0,peca_simulador,c8,0,0,0
a60,1,00:52,1,peca_simulador,c8,0,0,1
