"Especie","Rep","Instar_IN","Instar_PS","Tentou_predar"
"C_externa","R1","1Instar","ovo",3
"C_externa","R2","1Instar","ovo",25
"C_externa","R3","1Instar","ovo",20
"C_externa","R4","1Instar","ovo",36
"C_externa","R5","1Instar","ovo",12
"C_externa","R6","1Instar","ovo",0
"C_externa","R7","1Instar","ovo",1
"C_externa","R8","1Instar","ovo",10
"C_externa","R9","1Instar","ovo",0
"C_externa","R10","1Instar","ovo",14
"C_externa","R11","1Instar","ovo",2
"C_externa","R12","1Instar","ovo",0
"C_externa","R13","1Instar","ovo",0
"C_externa","R14","1Instar","ovo",0
"C_externa","R15","1Instar","ovo",0
"C_externa","R1","2Instar","ovo",32
"C_externa","R2","2Instar","ovo",0
"C_externa","R3","2Instar","ovo",0
"C_externa","R4","2Instar","ovo",25
"C_externa","R5","2Instar","ovo",0
"C_externa","R6","2Instar","ovo",2
"C_externa","R7","2Instar","ovo",2
"C_externa","R8","2Instar","ovo",35
"C_externa","R9","2Instar","ovo",0
"C_externa","R10","2Instar","ovo",0
"C_externa","R11","2Instar","ovo",0
"C_externa","R12","2Instar","ovo",22
"C_externa","R13","2Instar","ovo",0
"C_externa","R14","2Instar","ovo",2
"C_externa","R15","2Instar","ovo",9
"C_externa","R1","3Instar","ovo",54
"C_externa","R2","3Instar","ovo",57
"C_externa","R3","3Instar","ovo",26
"C_externa","R4","3Instar","ovo",17
"C_externa","R5","3Instar","ovo",18
"C_externa","R6","3Instar","ovo",34
"C_externa","R7","3Instar","ovo",2
"C_externa","R8","3Instar","ovo",0
"C_externa","R9","3Instar","ovo",20
"C_externa","R10","3Instar","ovo",25
"C_externa","R11","3Instar","ovo",6
"C_externa","R12","3Instar","ovo",65
"C_externa","R13","3Instar","ovo",36
"C_externa","R14","3Instar","ovo",6
"C_externa","R15","3Instar","ovo",62
"C_cubana","R1","1Instar","ovo",0
"C_cubana","R2","1Instar","ovo",0
"C_cubana","R3","1Instar","ovo",0
"C_cubana","R4","1Instar","ovo",0
"C_cubana","R5","1Instar","ovo",0
"C_cubana","R6","1Instar","ovo",0
"C_cubana","R7","1Instar","ovo",0
"C_cubana","R8","1Instar","ovo",0
"C_cubana","R9","1Instar","ovo",0
"C_cubana","R10","1Instar","ovo",0
"C_cubana","R11","1Instar","ovo",1
"C_cubana","R12","1Instar","ovo",0
"C_cubana","R13","1Instar","ovo",0
"C_cubana","R14","1Instar","ovo",1
"C_cubana","R15","1Instar","ovo",0
"C_cubana","R16","1Instar","ovo",1
"C_cubana","R17","1Instar","ovo",0
"C_cubana","R18","1Instar","ovo",0
"C_cubana","R19","1Instar","ovo",0
"C_cubana","R20","1Instar","ovo",0
"C_cubana","R1","2Instar","ovo",0
"C_cubana","R2","2Instar","ovo",0
"C_cubana","R3","2Instar","ovo",0
"C_cubana","R4","2Instar","ovo",0
"C_cubana","R5","2Instar","ovo",0
"C_cubana","R6","2Instar","ovo",1
"C_cubana","R7","2Instar","ovo",0
"C_cubana","R8","2Instar","ovo",0
"C_cubana","R9","2Instar","ovo",0
"C_cubana","R10","2Instar","ovo",0
"C_cubana","R11","2Instar","ovo",1
"C_cubana","R12","2Instar","ovo",0
"C_cubana","R13","2Instar","ovo",1
"C_cubana","R14","2Instar","ovo",1
"C_cubana","R15","2Instar","ovo",0
"C_cubana","R16","2Instar","ovo",1
"C_cubana","R17","2Instar","ovo",0
"C_cubana","R18","2Instar","ovo",0
"C_cubana","R19","2Instar","ovo",1
"C_cubana","R20","2Instar","ovo",0
"C_cubana","R1","3Instar","ovo",0
"C_cubana","R2","3Instar","ovo",1
"C_cubana","R3","3Instar","ovo",0
"C_cubana","R4","3Instar","ovo",0
"C_cubana","R5","3Instar","ovo",1
"C_cubana","R6","3Instar","ovo",0
"C_cubana","R7","3Instar","ovo",1
"C_cubana","R8","3Instar","ovo",1
"C_cubana","R9","3Instar","ovo",0
"C_cubana","R10","3Instar","ovo",0
"C_cubana","R11","3Instar","ovo",0
"C_cubana","R12","3Instar","ovo",0
"C_cubana","R13","3Instar","ovo",0
"C_cubana","R14","3Instar","ovo",0
"C_cubana","R15","3Instar","ovo",0
"C_cubana","R16","3Instar","ovo",0
"C_cubana","R17","3Instar","ovo",0
"C_cubana","R18","3Instar","ovo",0
"C_cubana","R19","3Instar","ovo",0
"C_cubana","R20","3Instar","ovo",1
