aluno;exito ;tempo;alvo;grupo;curso;tentativa_1;tentativa_2;tentativa_3;vez_exito
a1;0;03:00;0;GP_C;1;0;0;0;4
a3;1;00:21;1;GP_C;1;1;0;1;1
a5;0;03:00;0;GP_C;1;0;0;0;4
a6;1;01:10;1;GP_C;1;1;1;1;1
a8;0;03:00;0;GP_C;1;0;0;0;4
a10;0;03:00;0;GP_2;2;1;0;0;1
a11;1;00:31;0;GP_2;2;0;0;0;4
a12;0;03:00;0;GP_2;2;0;0;0;0
a13;1;01:00;1;GP_2;2;1;0;0;1
a14;1;01:25;0;GP_2;2;0;0;0;4
a15;1;03:22;0;GP_2;2;0;0;0;4
a18;0;03:00;0;GP_2;2;0;0;0;0
a19;1;01:22;0;GP_1;3;0;0;0;10
a20;1;01:26;1;GP_1;3;0;1;0;2
a22;1;01:07;1;GP_1;3;0;0;0;10
a23;1;02:09;0;GP_1;3;0;0;0;11
a25;1;01:25;0;GP_1;3;0;0;0;13
a28;1;02:25;0;GP_C;4;0;0;0;11
a29;0;03:00;0;GP_C;4;0;0;0;0
a30;1;01:20;0;GP_C;4;0;0;0;5
a31;0;02:18;0;GP_C;4;1;0;0;1
a32;1;00:38;1;GP_C;4;0;0;1;3
a34;0;03:00;0;GP_C;4;0;0;0;6
a35;1;01:04;1;GP_C;4;1;0;0;1
a36;1;00:31;1;GP_2;5;0;0;1;3
a37;1;01:16;0;GP_2;5;0;0;0;4
a38;0;03:00;0;GP_2;5;0;0;1;3
a40;1;01:24;1;GP_2;5;0;0;1;3
a41;1;02:56;0;GP_2;5;0;0;0;4
a42;1;01:35;0;GP_2;5;0;0;0;13
a43;1;00:45;1;GP_2;5;0;0;0;5
a44;0;03:00;0;GP_2;5;0;0;0;11
a45;1;01:03;0;GP_1;6;0;0;0;11
a47;0;03:00;0;GP_1;6;0;0;0;6
a48;1;00:32;1;GP_1;6;0;0;0;5
a49;0;03:00;0;GP_1;6;0;0;0;6
a50;1;00:26;1;GP_1;6;0;0;1;3
a51;1;00:36;1;GP_1;6;1;0;0;1
a53;1;02:45;0;GP_1;6;0;0;0;5
a54;1;00:18;0;GP_1;7;0;0;0;8
a55;0;03:00;0;GP_1;7;0;0;0;14
a56;1;00:44;0;GP_1;7;0;0;1;3
a57;1;00:11;0;GP_1;7;0;0;0;10
a59;1;00:43;0;GP_1;7;0;0;0;12
a60;1;00:47;0;GP_1;7;0;0;0;7
a62;1;01:57;0;GP_1;7;0;0;0;9
a63;1;02:15;1;GP_2;8;0;0;1;3
a64;1;00:56;1;GP_2;8;0;0;1;3
a65;0;03:00;0;GP_2;8;0;0;1;3
a66;1;00:22;1;GP_2;8;0;1;1;2
a68;1;01:13;0;GP_2;8;0;0;1;3
a69;1;00:28;0;GP_2;8;0;1;1;2
a70;1;01:42;0;GP_2;8;0;0;0;13
a71;1;00:52;1;GP_2;8;0;0;1;3
a72;1;02:35;0;GP_C;9;0;0;0;13
a73;0;03:00;0;GP_C;9;0;0;0;8
a74;1;01:08;0;GP_C;9;0;0;0;4
a75;1;01:17;1;GP_C;9;0;0;0;11
a76;0;03:00;0;GP_C;9;0;0;0;17
a77;0;03:00;0;GP_C;9;0;1;0;2
a78;1;01:19;0;GP_C;9;1;0;0;1
